player_id,name,pos,ppr_rank,avg_draft_pos,pos_diff,ppr_auc_value,avg_auc_value,auc_diff
3117251,Christian McCaffrey,RB,1,1,0,62,72,10
3116593,Dalvin Cook,RB,2,2,0,59,67,8
3054850,Alvin Kamara,RB,3,4,1,59,65,6
3929630,Saquon Barkley,RB,4,7,3,58,57,-1
3043078,Derrick Henry,RB,5,4,-1,56,65,9
15847,Travis Kelce,TE,6,8,2,53,55,2
16800,Davante Adams,WR,7,7,0,51,56,5
3051392,Ezekiel Elliott,RB,8,8,0,50,55,5
4242335,Jonathan Taylor,RB,9,12,3,48,49,1
3068267,Austin Ekeler,RB,10,14,4,46,48,2
3042519,Aaron Jones,RB,11,12,1,45,51,6
3128720,Nick Chubb,RB,12,12,0,45,50,5
3116406,Tyreek Hill,WR,13,11,-2,44,52,8
4360294,Antonio Gibson,RB,14,18,4,43,43,0
4241457,Najee Harris,RB,15,17,2,42,46,4
2976212,Stefon Diggs,WR,16,16,0,40,45,5
15795,DeAndre Hopkins,WR,17,18,1,38,41,3
3925357,Calvin Ridley,WR,18,20,2,37,39,2
4047650,DK Metcalf,WR,19,18,-1,36,40,4
4047646,A.J. Brown,WR,20,25,5,35,33,-2
4262921,Justin Jefferson,WR,21,25,4,34,35,1
3116385,Joe Mixon,RB,22,25,3,33,35,2
4242214,Clyde Edwards-Helaire,RB,23,29,6,32,33,1
2576925,Darren Waller,TE,24,25,1,32,33,1
3121422,Terry McLaurin,WR,25,29,4,31,29,-2
15818,Keenan Allen,WR,26,29,3,30,29,-1
16799,Allen Robinson II,WR,27,34,7,30,26,-4
4241389,CeeDee Lamb,WR,28,35,7,29,27,-2
3040151,George Kittle,TE,29,28,-1,28,30,2
4035538,David Montgomery,RB,30,35,5,26,25,-1
4052042,James Robinson,RB,31,33,2,26,26,0
4045163,Miles Sanders,RB,32,38,6,25,23,-2
15880,Robert Woods,WR,33,39,6,24,21,-3
16737,Mike Evans,WR,34,34,0,23,23,0
2976499,Amari Cooper,WR,35,41,6,22,20,-2
4259545,D'Andre Swift,RB,36,48,12,22,18,-4
3919596,Chris Carson,RB,37,41,4,22,23,1
16460,Adam Thielen,WR,38,46,8,21,18,-3
2577327,Tyler Lockett,WR,39,48,9,21,17,-4
3116165,Chris Godwin,WR,40,47,7,20,18,-2
2977187,Cooper Kupp,WR,41,49,8,19,17,-2
3932905,Diontae Johnson,WR,42,56,14,19,13,-6
13982,Julio Jones,WR,43,50,7,18,17,-1
3915416,DJ Moore,WR,44,57,13,17,13,-4
4360438,Brandon Aiyuk,WR,45,64,19,17,11,-6
4239993,Tee Higgins,WR,46,65,19,15,10,-5
4047365,Josh Jacobs,RB,47,42,-5,15,20,5
3119195,Chase Edmonds,RB,48,62,14,14,11,-3
3139477,Patrick Mahomes,QB,49,19,-30,13,34,21
3918298,Josh Allen,QB,51,30,-21,13,23,10
3051926,Gus Edwards,RB,53,70,17,12,13,1
4361579,Javonte Williams,RB,54,70,16,11,9,-2
3059915,Kareem Hunt,RB,55,62,7,11,11,0
3886818,Myles Gaskin,RB,56,68,12,10,10,0
2974858,Kenny Golladay,WR,57,76,19,10,7,-3
16733,Odell Beckham Jr.,WR,58,70,12,10,9,-1
2574808,Robby Anderson,WR,59,76,17,10,6,-4
3120348,JuJu Smith-Schuster,WR,60,71,11,9,7,-2
3128429,Courtland Sutton,WR,61,82,21,9,6,-3
3116365,Mark Andrews,TE,63,48,-15,9,11,2
4036133,T.J. Hockenson,TE,64,62,-2,8,8,0
4360248,Kyle Pitts,TE,65,52,-13,8,13,5
3917315,Kyler Murray,QB,66,41,-25,8,16,8
4241463,Jerry Jeudy,WR,68,75,7,7,7,0
4046692,Chase Claypool,WR,70,76,6,7,6,-1
16731,Brandin Cooks,WR,71,89,18,7,4,-3
2577417,Dak Prescott,QB,72,58,-14,7,10,3
3916387,Lamar Jackson,QB,74,46,-28,6,14,8
3025433,Mike Davis,RB,76,73,-3,6,9,3
4039359,Darrell Henderson Jr.,RB,77,92,15,6,5,-1
4362628,Ja'Marr Chase,WR,78,84,6,6,5,-1
3052876,William Fuller V,WR,79,97,18,6,3,-3
3045144,Tyler Boyd,WR,80,96,16,6,3,-3
4243160,Laviska Shenault Jr.,WR,81,97,16,5,3,-2
4036348,Michael Gallup,WR,84,99,15,5,2,-3
16813,Logan Thomas,TE,85,72,-13,5,5,0
4241478,DeVonta Smith,WR,86,93,7,5,4,-1
3126486,Deebo Samuel,WR,87,102,15,4,3,-1
8439,Aaron Rodgers,QB,88,49,-39,4,12,8
14881,Russell Wilson,QB,90,58,-32,4,11,7
4038941,Justin Herbert,QB,92,68,-24,4,8,4
4036131,Noah Fant,TE,94,92,-2,4,3,-1
3042778,Corey Davis,WR,95,107,12,4,2,-2
15072,Marvin Jones Jr.,WR,96,115,19,4,1,-3
3115394,DJ Chark Jr.,WR,98,115,17,4,2,-2
2976316,Michael Thomas,WR,99,96,-3,4,5,1
3925347,Damien Harris,RB,100,81,-19,3,7,4
2576414,Raheem Mostert,RB,101,88,-13,3,5,2
16790,Jarvis Landry,WR,102,106,4,3,2,-1
4241372,Marquise Brown,WR,104,116,12,3,1,-2
3121427,Curtis Samuel,WR,105,123,18,3,1,-2
3045138,Mike Williams,WR,106,126,20,3,1,-2
13934,Antonio Brown,WR,107,111,4,3,3,0
3128721,Sony Michel,RB,108,99,-9,3,3,0
4372016,Jaylen Waddle,WR,110,116,6,3,2,-1
4241475,Henry Ruggs III,WR,111,122,11,2,1,-1
2979843,Kenyan Drake,RB,112,109,-3,2,2,0
3115364,Leonard Fournette,RB,113,98,-15,2,3,1
3045147,James Conner,RB,114,120,6,2,2,0
2576434,Melvin Gordon III,RB,116,107,-9,2,3,1
4239934,AJ Dillon,RB,117,122,5,2,2,0
2980453,Jamaal Williams,RB,118,131,13,2,1,-1
4035676,Zack Moss,RB,119,121,2,2,2,0
4040761,Devin Singletary,RB,120,141,21,2,1,-1
3054212,Jonnu Smith,TE,123,112,-11,2,1,-1
3121023,Dallas Goedert,TE,124,102,-22,2,2,0
2975674,Robert Tonyan,TE,125,97,-28,2,3,1
3116164,Mike Gesicki,TE,126,114,-12,2,1,-1
2330,Tom Brady,QB,127,69,-58,2,7,5
3916430,Nyheim Hines,RB,131,140,9,2,1,-1
4240657,Michael Carter,RB,132,131,-1,2,1,-1
3912550,Ronald Jones II,RB,133,123,-10,2,2,0
4241401,Trey Sermon,RB,134,125,-9,2,3,1
4040715,Jalen Hurts,QB,135,104,-31,2,3,1
14876,Ryan Tannehill,QB,139,112,-27,2,3,1
12483,Matthew Stafford,QB,141,101,-40,2,4,2
4035687,Michael Pittman Jr.,WR,143,136,-7,2,1,-1
3916433,Jakobi Meyers,WR,144,145,1,2,1,-1
15349,Cole Beasley,WR,145,133,-12,2,1,-1
2576623,DeVante Parker,WR,147,149,2,2,0,-2
4035170,Marquez Callaway,WR,148,134,-14,1,2,1
4241802,Jalen Reagor,WR,149,151,2,1,0,-1
2508176,David Johnson,RB,150,144,-6,1,1,0
16913,James White,RB,151,155,4,1,0,-1
2587819,Tyrell Williams,WR,152,160,8,1,0,-1
4035004,Mecole Hardman,WR,154,148,-6,1,1,0
4040655,Darnell Mooney,WR,155,152,-3,1,1,0
3121410,Parris Campbell,WR,156,161,5,1,0,-1
4372414,Elijah Moore,WR,157,161,4,1,0,-1
2573401,Tyler Higbee,TE,159,130,-29,1,1,0
3043275,Austin Hooper,TE,160,147,-13,1,0,-1
3046439,Hunter Henry,TE,161,161,0,1,0,-1
3915511,Joe Burrow,QB,162,124,-38,1,2,1
3052587,Baker Mayfield,QB,164,133,-31,1,1,0
4241479,Tua Tagovailoa,QB,168,147,-21,1,1,0
3052117,Phillip Lindsay,RB,170,147,-23,1,1,0
2572861,J.D. McKissic,RB,171,155,-16,1,0,-1
3916148,Tony Pollard,RB,172,158,-14,1,0,-1
4048244,Alexander Mattison,RB,173,163,-10,1,0,-1
2570986,Malcolm Brown,RB,176,167,-9,1,0,-1
15826,Giovani Bernard,RB,177,168,-9,0,0,0
4569173,Rhamondre Stevenson,RB,178,168,-10,0,0,0
13229,Rob Gronkowski,TE,179,124,-55,0,1,1
3051876,Evan Engram,TE,180,153,-27,0,0,0
4258595,Cole Kmet,TE,184,167,-17,0,0,0
4360310,Trevor Lawrence,QB,185,134,-51,0,2,2
11237,Matt Ryan,QB,187,154,-33,0,1,1
5536,Ben Roethlisberger,QB,189,158,-31,0,0,0
4362887,Justin Fields,QB,191,146,-45,0,1,1
3115378,Russell Gage,WR,194,164,-30,0,0,0
2976592,Sterling Shepard,WR,196,168,-28,0,0,0
2576716,Jamison Crowder,WR,197,167,-30,0,0,0
2971618,Nelson Agholor,WR,198,164,-34,0,0,0
4372485,Rondale Moore,WR,199,168,-31,0,0,0
4362630,Terrace Marshall Jr.,WR,202,168,-34,0,0,0
2979477,Tevin Coleman,RB,203,169,-34,0,0,0
16777,Carlos Hyde,RB,204,169,-35,0,0,0
3895827,Ty'Son Williams,RB,205,166,-39,0,0,0
4038818,Bryan Edwards,WR,206,169,-37,0,0,0
13983,A.J. Green,WR,210,164,-46,0,0,0
14053,Randall Cobb,WR,211,163,-48,0,0,0
4243537,Gabriel Davis,WR,212,169,-43,0,0,0
13295,Emmanuel Sanders,WR,213,169,-44,0,0,0
4374302,Amon-Ra St. Brown,WR,214,170,-44,0,0,0
